
Attaching file /nfs/user/pmastra/DeepTau2p5/TauOfficial/nano/UL2018/DYJetsToLL_M-50-madgraphMLM/nano_0_skim_0.root as _file0...
Collection name='TObjArray', class='TObjArray', size=368
 OBJ: TLeafI	Pileup_nPU	Pileup_nPU
 OBJ: TLeafI	Pileup_sumEOOT	Pileup_sumEOOT
 OBJ: TLeafI	Pileup_sumLOOT	Pileup_sumLOOT
 OBJ: TLeafI	Tau_charge	Tau_charge[nTau]
 OBJ: TLeafI	Tau_decayMode	Tau_decayMode[nTau]
 OBJ: TLeafI	Tau_genPartIdx	Tau_genPartIdx[nTau]
 OBJ: TLeafI	Tau_jetIdx	Tau_jetIdx[nTau]
 OBJ: TLeafI	TrigObj_filterBits	TrigObj_filterBits[nTrigObj]
 OBJ: TLeafI	TrigObj_id	TrigObj_id[nTrigObj]
 OBJ: TLeafI	TrigObj_l1charge	TrigObj_l1charge[nTrigObj]
 OBJ: TLeafI	TrigObj_l1iso	TrigObj_l1iso[nTrigObj]
 OBJ: TLeafI	bunchCrossing	bunchCrossing
 OBJ: TLeafI	luminosityBlock	luminosityBlock
 OBJ: TLeafI	nElectron	nElectron
 OBJ: TLeafI	nGenJet	nGenJet
 OBJ: TLeafI	nGenPart	nGenPart
 OBJ: TLeafI	nGenVisTau	nGenVisTau
 OBJ: TLeafI	nJet	nJet
 OBJ: TLeafI	nLHEPdfWeight	nLHEPdfWeight
 OBJ: TLeafI	nLHEReweightingWeight	nLHEReweightingWeight
 OBJ: TLeafI	nLHEScaleWeight	nLHEScaleWeight
 OBJ: TLeafI	nMuon	nMuon
 OBJ: TLeafI	nOtherPV	nOtherPV
 OBJ: TLeafI	nPSWeight	nPSWeight
 OBJ: TLeafI	nTau	nTau
 OBJ: TLeafI	nTrigObj	nTrigObj
 OBJ: TLeafI	run	run
 OBJ: TLeafL	event	event
 OBJ: TLeafO	Electron_convVeto	Electron_convVeto[nElectron]
 OBJ: TLeafO	Electron_mvaIso_WP80	Electron_mvaIso_WP80[nElectron]
 OBJ: TLeafO	Electron_mvaIso_WP90	Electron_mvaIso_WP90[nElectron]
 OBJ: TLeafO	Electron_mvaIso_WPL	Electron_mvaIso_WPL[nElectron]
 OBJ: TLeafO	Electron_mvaNoIso_WP80	Electron_mvaNoIso_WP80[nElectron]
 OBJ: TLeafO	Electron_mvaNoIso_WP90	Electron_mvaNoIso_WP90[nElectron]
 OBJ: TLeafO	Electron_mvaNoIso_WPL	Electron_mvaNoIso_WPL[nElectron]
 OBJ: TLeafO	Flag_BadChargedCandidateFilter	Flag_BadChargedCandidateFilter
 OBJ: TLeafO	Flag_BadChargedCandidateSummer16Filter	Flag_BadChargedCandidateSummer16Filter
 OBJ: TLeafO	Flag_BadPFMuonDzFilter	Flag_BadPFMuonDzFilter
 OBJ: TLeafO	Flag_BadPFMuonFilter	Flag_BadPFMuonFilter
 OBJ: TLeafO	Flag_BadPFMuonSummer16Filter	Flag_BadPFMuonSummer16Filter
 OBJ: TLeafO	Flag_CSCTightHalo2015Filter	Flag_CSCTightHalo2015Filter
 OBJ: TLeafO	Flag_CSCTightHaloFilter	Flag_CSCTightHaloFilter
 OBJ: TLeafO	Flag_CSCTightHaloTrkMuUnvetoFilter	Flag_CSCTightHaloTrkMuUnvetoFilter
 OBJ: TLeafO	Flag_EcalDeadCellBoundaryEnergyFilter	Flag_EcalDeadCellBoundaryEnergyFilter
 OBJ: TLeafO	Flag_EcalDeadCellTriggerPrimitiveFilter	Flag_EcalDeadCellTriggerPrimitiveFilter
 OBJ: TLeafO	Flag_HBHENoiseFilter	Flag_HBHENoiseFilter
